Country,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Estimates Start After
Comoros,U.S. dollars,Units,628.071,675.05,757.399,949.68,"1,055.36","1,085.66","1,110.98","1,251.86","1,403.80","1,351.15","1,322.64","1,450.16","1,403.42","1,500.73","1,505.18","1,231.14",2021
Democratic Republic of the Congo,U.S. dollars,Units,397.025,146.542,171.076,171.505,189.173,226.776,265.901,310.819,366.699,291.745,338.802,387.825,427.848,481.137,512.244,519.68,0
Micronesia,U.S. dollars,Units,"1,268.42","1,037.33","1,109.28","1,255.57","1,617.33","2,058.30","2,436.38","2,586.30","3,346.18","2,722.04","3,597.96","4,175.34","4,607.39","4,559.73","4,438.24","2,873.72",2020
Costa Rica,U.S. dollars,Units,"3,941.14","4,041.94","4,122.83","4,227.82","4,483.59","4,756.34","5,309.27","6,194.05","6,993.90","6,879.27","8,268.86","9,270.57","10,107.45","10,764.53","10,853.64","11,635.20",2022
C?te d'Ivoire,U.S. dollars,Units,920.48,935.453,"1,009.65","1,216.95","1,282.23","1,287.98","1,308.59","1,458.25","1,697.06","1,657.61","1,650.97","1,660.46","1,686.74","1,919.18","2,115.21","1,932.24",2015
Croatia,U.S. dollars,Units,"5,053.53","5,363.19","6,216.13","8,191.30","9,718.25","10,453.25","11,490.02","13,730.88","15,855.12","14,372.18","13,676.69","14,619.95","13,417.80","13,948.88","13,976.06","12,070.74",2022
Cyprus,U.S. dollars,Units,"14,464.82","14,905.02","16,188.39","20,389.18","23,969.82","25,527.25","27,448.57","31,774.43","36,009.56","32,650.09","31,521.89","32,910.62","29,075.27","27,671.33","27,076.81","23,507.59",2022
Czech Republic,U.S. dollars,Units,"6,015.07","6,627.10","8,056.32","9,823.29","11,751.90","13,446.94","15,284.67","18,527.74","22,925.75","19,908.15","19,983.58","21,890.78","19,880.90","20,129.62","19,915.38","17,842.87",2022
Denmark,U.S. dollars,Units,"30,798.72","30,806.61","33,275.56","40,512.05","46,571.28","48,872.10","52,121.25","58,641.19","64,531.12","58,286.54","58,177.16","61,864.09","58,623.41","61,325.58","62,729.50","53,478.50",2022
Djibouti,U.S. dollars,Units,"1,088.22","1,106.68","1,121.17","1,160.47","1,212.85","1,271.22","1,359.49","1,478.42","1,692.43","1,722.34","1,837.21","2,038.56","2,190.28","2,314.56","2,470.93","2,652.51",2021
Dominica,U.S. dollars,Units,"4,681.18","4,775.34","4,680.26","4,825.77","5,165.22","5,127.44","5,497.25","5,939.91","6,463.44","6,904.00","6,980.96","7,160.28","6,994.87","7,153.47","7,388.58","7,596.22",2011
Dominican Republic,U.S. dollars,Units,"2,894.30","3,007.38","3,158.39","2,460.55","2,540.85","4,008.36","4,188.72","4,803.47","5,194.80","5,151.17","5,688.75","6,063.35","6,274.87","6,413.93","6,805.66","7,139.51",2019
Ecuador,U.S. dollars,Units,"1,461.84","1,909.42","2,180.39","2,434.98","2,700.12","3,025.01","3,351.48","3,588.31","4,267.47","4,241.94","4,633.25","5,192.88","5,664.89","6,030.50","6,347.00","6,099.35",2021
Egypt,U.S. dollars,Units,"1,636.75","1,566.20","1,355.28","1,252.40","1,195.60","1,331.36","1,563.74","1,862.16","2,271.23","2,578.88","2,922.80","3,077.34","3,569.48","3,583.85","3,705.47","3,933.93",2021
El Salvador,U.S. dollars,Units,"1,977.84","2,051.16","2,106.73","2,197.50","2,273.94","2,434.33","2,651.45","2,814.60","2,964.17","2,889.68","3,017.33","3,305.00","3,471.05","3,555.19","3,638.53","3,761.49",2022
Equatorial Guinea,U.S. dollars,Units,"1,885.99","2,616.49","3,107.85","5,424.13","8,214.07","10,810.45","12,743.35","15,782.69","22,834.44","16,596.74","17,153.17","21,480.00","21,556.42","20,252.75","19,271.29","11,217.99",2015
Eritrea,U.S. dollars,Units,238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,2006
Estonia,U.S. dollars,Units,"4,084.94","4,516.22","5,358.42","7,216.27","8,923.19","10,426.69","12,657.06","16,764.94","18,273.30","14,756.39","14,696.81","17,484.73","17,414.24","19,056.28","20,253.97","17,403.81",2022
Eswatini,U.S. dollars,Units,"1,818.67","1,599.21","1,473.72","2,235.68","2,797.02","3,174.59","3,262.22","3,402.16","3,214.49","3,479.71","4,263.91","4,603.20","4,628.13","4,325.84","4,133.65","3,766.46",2017
Ethiopia,U.S. dollars,Units,136.056,131.565,123.874,132.704,152.16,181.49,218.637,266.894,350.57,373.199,341.103,377.694,510.537,548.869,622.592,707.975,2022
